Placement,Swiss,Country,Player,Prize,Team,Class,Tournament
6,6-1,USA,Meghan Hyman(PinkSylvie),–,"['Palkia', 'Incineroar', 'Grimmsnarl', 'Regieleki', 'Ferrothorn', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
7,5-2,GBR,Scarlet Andrews(Scarlet),–,"['Kyogre', 'Incineroar', 'Tornadus', 'Raichu', 'Ferrothorn', 'Urshifu']",Teams and Results,Teams and Results from the Women’s Tournament II
8,5-2,USA,Killy Kilgallon(Killy),–,"['Kyogre', 'Incineroar', 'Tornadus', 'Regieleki', 'Amoonguss', 'Kartana']",Teams and Results,Teams and Results from the Women’s Tournament II
9,7-0,POL,Aleksandra Ćwikiel(Anabel),–,"['Solgaleo', 'Incineroar', 'Gastrodon-East', 'Tornadus', 'Amoonguss', 'Moltres-Galar']",Teams and Results,Teams and Results from the Women’s Tournament II
10,6-1,POL,Diana Bros(Eshi),–,"['Solgaleo', 'Entei', 'Grimmsnarl', 'Rotom-Wash', 'Amoonguss', 'Moltres-Galar']",Teams and Results,Teams and Results from the Women’s Tournament II
11,5-2,USA,Gwen Edgar(Gwen),–,"['Kyogre', 'Incineroar', 'Latias', 'Salamence', 'Kartana', 'Celesteela']",Teams and Results,Teams and Results from the Women’s Tournament II
12,5-2,USA,Lacey L.(Lucky),–,"['Xerneas', 'Incineroar', 'Landorus-Therian', 'Rotom-Wash', 'Amoonguss', 'Metagross']",Teams and Results,Teams and Results from the Women’s Tournament II
13,5-2,USA,Selene W. Benitez(Envy),–,"['Reshiram', 'Urshifu', 'Suicune', 'Thundurus', 'Rillaboom', 'Nihilego']",Teams and Results,Teams and Results from the Women’s Tournament II
14,5-2,MEX,Ángela Gaitán(N A M I),–,"['Kyogre', 'Incineroar', 'Tornadus', 'Regieleki', 'Kartana', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
15,5-2,JPN,Ren ZV.(ren),–,"['Dialga', 'Hatterene', 'Liepard', 'Zapdos', 'Celesteela', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
16,5-2,CAN,Fiona Szymkiewicz(Yoshi&Lugia),–,"['Yveltal', 'Incineroar', 'Lapras', 'Raichu', 'Amoonguss', 'Metagross']",Teams and Results,Teams and Results from the Women’s Tournament II
17,5-2,SLV,Samantha,–,"['Groudon', 'Incineroar', 'Tornadus', 'Thundurus', 'Venusaur', 'Urshifu']",Teams and Results,Teams and Results from the Women’s Tournament II
18,5-2,USA,Darya Welch(Darya),–,"['Groudon', 'Charizard', 'Suicune', 'Raichu', 'Venusaur', 'Kartana']",Teams and Results,Teams and Results from the Women’s Tournament II
19,5-2,USA,Emily Golub(Johnemii),–,"['Calyrex-Ice-Rider', 'Charizard', 'Liepard', 'Clefairy', 'Venusaur', 'Torkoal']",Teams and Results,Teams and Results from the Women’s Tournament II
20,5-2,USA,Smol(Le Poot),–,"['Kyogre', 'Incineroar', 'Tornadus', 'Regieleki', 'Urshifu', 'Glastrier']",Teams and Results,Teams and Results from the Women’s Tournament II
21,5-2,GBR,Lana☆,–,"['Dialga', 'Mienshao', 'Tapu-Fini', 'Zapdos', 'Grimmsnarl', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
22,5-2,NDL,Jennayy,–,"['Dialga', 'Dusclops', 'Blastoise', 'Rotom-Heat', 'Tsareena', 'Tyranitar']",Teams and Results,Teams and Results from the Women’s Tournament II
23,5-2,USA,GunnZalez,–,"['Dialga', 'Incineroar', 'Grimmsnarl', 'Zapdos', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
24,5-2,CAN,Joanna Miranda-Radbord,–,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Zapdos', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
25,5-2,SGP,Low Wai Yin(TextFont),–,"['Calyrex-Shadow-Rider', 'Hatterene', 'Liepard', 'Indeedee-Female', 'Chansey', 'Shuckle']",Teams and Results,Teams and Results from the Women’s Tournament II
26,5-2,USA,Cadette,–,"['Zacian-Crowned', 'Salazzle', 'Lapras', 'Regieleki', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
27,5-2,FIN,Lumi Jääheimo(Lumiko),–,"['Solgaleo', 'Incineroar', 'Lapras', 'Zapdos', 'Amoonguss', 'Spectrier']",Teams and Results,Teams and Results from the Women’s Tournament II
1,6-2,ESP,Victor Medina(Torviv),400,"['Zacian-Crowned', 'Umbreon', 'Lapras', 'Thundurus', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
2,6-2,USA,Alex Underhill(Lexicon),300,"['Calyrex-Ice-Rider', 'Incineroar', 'Tapu-Fini', 'Dusclops', 'Amoonguss', 'Moltres-Galar']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
3,6-2,GBR,Taran Birdee(Taran),200,"['Kyogre', 'Incineroar', 'Porygon2', 'Regieleki', 'Ferrothorn', 'Dragapult']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
4,6-2,JPN,Hiroyuki Morita(アイシーン),200,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Regieleki', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
5,8-0,ESP,Eric Rios(Riopaser),150,"['Groudon', 'Incineroar', 'Grimmsnarl', 'Rotom-Wash', 'Venusaur', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
6,7-1,No Flag,Andrea Olea(BanFoxVGC),150,"['Groudon', 'Incineroar', 'Tapu-Fini', 'Porygon2', 'Venusaur', 'Stakataka']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
7,6-2,AUS,Phil Nguyen(Phil N (AUS)),150,"['Groudon', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Rillaboom', 'Sigilyph']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
8,6-2,PRT,Eduardo Cunha(Edu),150,"['Groudon', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Venusaur', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
9,7-1,CHN,Li Jingshu(鲁路修四海),80,"['Groudon', 'Incineroar', 'Clefairy', 'Thundurus', 'Rillaboom', 'Charizard']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
10,7-1,ITA,Damiano La Barbera(DamiWoW),80,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Regieleki', 'Umbreon', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
11,7-1,ESP,Mario Soriano(Mario),80,"['Calyrex-Ice-Rider', 'Incineroar', 'Tapu-Fini', 'Dusclops', 'Amoonguss', 'Zapdos']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
12,6-2,AUS,Yoav Reuven(Gold),80,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Regieleki', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
13,6-2,ESP,Álex Soto(Len),80,"['Kyogre', 'Incineroar', 'Tornadus', 'Kartana', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
14,7-1,ESP,Juan Borreguero(Blue),80,"['Giratina', 'Togekiss', 'Tapu-Fini', 'Rotom-Heat', 'Porygon2', 'Registeel']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
15,6-2,ITA,Antonio Raimondo(Rey),80,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Regieleki', 'Amoonguss', 'Hydreigon']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
16,6-2,FRA,Hippolyte Bernard(Redsilver),80,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Thundurus', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
17,6-2,CHN,Jin Zhiyu(満島ひかり),40,"['Calyrex-Shadow-Rider', 'Incineroar', 'Whimsicott', 'Zapdos', 'Rillaboom', 'Nihilego']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
18,6-2,ITA,Luca Del Medico(Mr.PokÉnjoy),40,"['Kyogre', 'Incineroar', 'Tornadus', 'Regieleki', 'Amoonguss', 'Metagross']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
19,6-2,ITA,Marco Silva(marcofiero),40,"['Calyrex-Shadow-Rider', 'Incineroar', 'Indeedee-Female', 'Regieleki', 'Thundurus', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
20,6-2,CAN,Matt Tidd(Tidd),40,"['Necrozma-Dusk-Mane', 'Volcarona', 'Milotic', 'Tapu-Koko', 'Grimmsnarl', 'Porygon2']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
21,6-2,ITA,Giulio Tarlao(Giulio),40,"['Calyrex-Shadow-Rider', 'Incineroar', 'Indeedee-Female', 'Thundurus', 'Excadrill', 'Tyranitar']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
22,6-2,JPN,Youichiro Kurogi(アカザ),40,"['Yveltal', 'Incineroar', 'Landorus', 'Regieleki', 'Rillaboom', 'Metagross']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Winter Series
1,5-2,JPN,Yosuke Takayanagi(やなぎ),400,"['Kyogre', 'Torkoal', 'Porygon2', 'Tornadus', 'Venusaur', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
2,5-2,USA,Michael D’Angelo(Mike),300,"['Zacian-Crowned', 'Incineroar', 'Urshifu', 'Dragapult', 'Amoonguss', 'Coalossal']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
3,6-1,JPN,Yuki Zaninovich(ゆうき),200,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Regieleki', 'Amoonguss', 'Dragapult']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
4,5-2,ITA,Damiano La Barbera(DamiWoW),200,"['Necrozma-Dusk-Mane', 'Incineroar', 'Porygon2', 'Thundurus', 'Amoonguss', 'Hydreigon']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
5,6-1,ESP,Juan Núñez(Pipagoro),150,"['Kyogre', 'Incineroar', 'Mimikyu', 'Dragapult', 'Amoonguss', 'Metagross']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
6,5-2,ITA,Daniele Spuntarelli(Zenzero),150,"['Zacian-Crowned', 'Dragapult', 'Urshifu', 'Thundurus', 'Rillaboom', 'Coalossal']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
7,5-2,GBR,Taran Birdee(Taran),150,"['Zacian-Crowned', 'Torkoal', 'Gothitelle', 'Thundurus', 'Venusaur', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
8,5-2,GTM,Juan M. Santizo(Juanma),150,"['Groudon', 'Incineroar', 'Clefairy', 'Thundurus', 'Charizard', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
9,7-0,ESP,Pablo García(Krais),80,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Regieleki', 'Amoonguss', 'Hydreigon']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
10,6-1,ITA,Giovanni Piscitelli(Genius),80,"['Zacian-Crowned', 'Dragapult', 'Indeedee-Female', 'Thundurus', 'Whimsicott', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
11,6-1,ITA,Giuseppe Alario(VR),80,"['Kyogre', 'Cinderace', 'Talonflame', 'Regieleki', 'Tsareena', 'Regidrago']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
12,6-1,ITA,Pasquale Palermo(Pakosss77),80,"['Palkia', 'Urshifu', 'Umbreon', 'Regieleki', 'Amoonguss', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
13,5-2,ITA,Flavio Del Pidio(Pado),80,"['Palkia', 'Rotom-Heat', 'Grimmsnarl', 'Regieleki', 'Ferrothorn', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
14,5-2,ESP,Juanma Luque(AZE | JuanmaEl32),80,"['Groudon', 'Charizard', 'Indeedee-Female', 'Dusclops', 'Venusaur', 'Umbreon']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
15,5-2,USA,Ben Romas(Tapu Nani),80,"['Zacian-Crowned', 'Gothitelle', 'Lapras', 'Thundurus', 'Latias', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
16,5-2,USA,Aaron Traylor(UNREALITY),80,"['Solgaleo', 'Hydreigon', 'Grimmsnarl', 'Thundurus', 'Ferrothorn', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
17,6-1,ESP,Alex Soto(Len),40,"['Kyogre', 'Incineroar', 'Tornadus', 'Kartana', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
18,6-1,ESP,Rubén Puig(RubeNCB),40,"['Kyogre', 'Torkoal', 'Porygon2', 'Tornadus', 'Venusaur', 'Grimmsnarl']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
19,5-2,CHN,Zhang Zhe(无极汰娜),40,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Dusclops', 'Indeedee-Female', 'Dragapult']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
20,5-2,ITA,Andrea Cassinese(Andrea),40,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Regieleki', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
21,5-2,ITA,Enrico Colombari(Syntex),40,"['Groudon', 'Incineroar', 'Porygon2', 'Regieleki', 'Venusaur', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
22,5-2,ESP,Elías El Hani(Elias),40,"['Calyrex-Shadow-Rider', 'Incineroar', 'Thundurus', 'Regieleki', 'Indeedee-Female', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
23,5-2,MEX,Julián Salinas(Necrotic),40,"['Kyogre', 'Kangaskhan', 'Dracovish', 'Tornadus', 'Amoonguss', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
24,5-2,ITA,Luca Pandolfi(Pando),40,"['Calyrex-Shadow-Rider', 'Indeedee-Female', 'Urshifu', 'Thundurus', 'Whimsicott', 'Coalossal']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
25,5-2,CHN,Jin Zhiyu(阿苌),40,"['Kyogre', 'Torkoal', 'Porygon2', 'Tornadus', 'Venusaur', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
26,5-2,ITA,Francesco Stefanelli(SharkVGC),40,"['Calyrex-Ice-Rider', 'Volcarona', 'Clefairy', 'Thundurus', 'Riolu', 'Hydreigon']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
27,5-2,ESP,Isaías Santos(Isaias),40,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Thundurus', 'Whimsicott', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
28,5-2,CAN,Justin Miranda(Reew),40,"['Zacian-Crowned', 'Incineroar', 'Urshifu', 'Thundurus', 'Rillaboom', 'Coalossal']",Teams and Results,Teams and results from the Qualifier #3 of the VR Circuit: Winter Series
1,5-1,TWN,Wu Chen(望月杏奈),R2 bye at Nats,"['Yveltal', 'Arcanine', 'Tapu-Fini', 'Regieleki', 'Landorus-Therian', 'Registeel']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
2,6-0,TWN,Tsai Chien-chien(芊芊),R2 bye at Nats,"['Zacian-Crowned', 'Dusclops', 'Tapu-Fini', 'Rotom-Heat', 'Rillaboom', 'Drampa']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
3,5-1,TWN,Ting Yu-liang(Haru),R1 bye at Nats,"['Calyrex-Ice-Rider', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Amoonguss', 'Dusclops']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
4,4-2,TWN,Ku Chao-chen(FM皇帝),R1 bye at Nats,"['Kyogre', 'Urshifu', 'Tornadus', 'Zapdos', 'Spectrier', 'Metagross']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
5,5-1,TWN,Li Chun-tien,–,"['Xerneas', 'Incineroar', 'Amoonguss', 'Thundurus', 'Ferrothorn', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
6,5-1,TWN,Chien Shao-yang(冰雪系最強),–,"['Calyrex-Ice-Rider', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Sableye', 'Dusclops']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
7,5-1,TWN,Chou Man-jung(Snivy♪),–,"['Solgaleo', 'Incineroar', 'Grimmsnarl', 'Zapdos', 'Spectrier', 'Moltres-Galar']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
8,5-1,TWN,Duh Jenn-chau,–,"['Zacian-Crowned', 'Rotom-Heat', 'Grimmsnarl', 'Thundurus', 'Rillaboom', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
